603999.SH,-4.365707055,-0.132318889,-3.941702551,7.655172414,5.285073671,35.22969273,2.294713161,-16.2964592,8.17130846,-3.764877338,-3.760726906,-3.015997902,-6.138453218,-7.605877269,2.806361085,-5.914467698,-5.480335268,3.717598909,-3.715882933,-5.225409836,-0.792792793,-0.145296041,2.982902874,-0.247262451,3.576487252,-0.136752137,0,-0.376583362,-3.917525773
603998.SH,-0.500625782,2.51572327,-5.09202454,3.296703297,1.939924906,2.394106814,0.839328537,-1.070154578,1.141826923,-2.852049911,2.874617737,6.658739596,-2.731326644,12.89398281,-6.192893401,-2.435064935,-2.273987798,-0.283768445,3.1303358,-9.105960265,4.250151791,-0.349446709,-0.175336061,3.161592506,1.645856981,-0.223338917,-2.350307778,-1.547277937,-1.047729919
603997.SH,3.856454205,2.836513667,-3.861584754,-2.243088159,-0.747065101,2.365591398,-0.577731092,0,12.46698362,0.798496947,-2.84249767,1.103117506,-4.364326376,3.323412698,-5.85693711,-1.580826109,1.347150259,0.306748466,-7.237512742,-2.912087912,3.848330504,-1.634877384,6.703601108,4.828660436,7.082714215,-0.138760407,3.10328856,7.502246181,1.504387798
603996.SH,4.549050633,-1.929625426,-6.520061728,-0.536524969,-4.89626556,2.05061082,3.078238563,-0.995437578,10.97612065,-3.057757644,-0.973520249,4.797483287,-10.01876173,-1.292743953,-5.576679341,-1.789709172,-9.248291572,4.718875502,-2.205177373,-3.774509804,0.356597045,0.304568528,5.617408907,-2.44369909,2.406679764,0.959232614,0.522565321,-0.661625709,4.947668887
603993.SH,-0.249376559,-0.5,-4.522613065,0.526315789,-2.879581152,0.269541779,3.76344086,-1.03626943,-0.261780105,13.64829396,-3.926096998,1.442307692,-5.213270142,1.5,-3.694581281,-1.278772379,-3.626943005,1.344086022,3.978779841,0,5.357142857,-1.694915254,2.216748768,13.25301205,11.70212766,-5.904761905,-1.619433198,-0.823045267,-5.809128631
603991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0078534,61.06003245,61.04768301
603990.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03584229,61.10749186,61.01900526,38.27222501,-3.686887032,-6.411465208,-4.835784808,9.231420707,-1.066098081,-2.801724138,-1.068332997,6.255093725,-1.668264621,8.365834633,-1.151700558,8.210449663
603989.SH,1.459427904,-3.135788262,-2.999703,5.388854868,1.452643812,3.379152348,0.969529086,-3.182441701,4.250495891,5.245990758,-2.453512397,3.018268467,-6.193780519,-2.246575342,-2.382286996,0.689061154,4.96150556,-2.28198859,-3.530720044,-3.4870317,0.209017617,0.059594756,-2.501488982,-1.069028711,10.0339611,-2.160493827,3.125896186,1.251390434,3.900027465
603988.SH,35.39581438,-12.13709677,-4.864616797,1.141662647,-8.282988871,14.30057202,0.470124355,-3.879245283,0.84798995,4.313298038,13.44976862,0.947368421,-7.299270073,2.502812148,-5.582990398,1.670783089,-2.900828808,11.46431199,7.327700026,-13.88854718,0.442857143,-0.881809131,0.932701966,1.037816321,2.518643591,-2.154817458,0.631224576,3.41511012,-2.574470953
603987.SH,0,0,0,0,0,0,0,0,0,0,0,46.49122807,60.97804391,33.50898946,-14.44160669,-10.74626866,-1.824262694,-7.339733664,-8.121657754,-0.763914151,0.073313783,-0.879120879,4.767184035,2.504409171,5.987611838,-3.279220779,12.11816046,-3.862275449,4.110868888
