time,2016/9/4,2016/9/11,2016/9/18,2016/9/25,2016/10/2,2016/10/16,2016/10/23,2016/10/30,2016/11/6,2016/11/13,2016/11/20,2016/11/27,2016/12/4,2016/12/11,2016/12/18,2016/12/25,2017/1/1,2017/1/8,2017/1/15,2017/1/22,2017/1/29,2017/2/5,2017/2/12,2017/2/19,2017/2/26,2017/3/5,2017/3/12,2017/3/19,2017/3/26
603855.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603843.SH,,,,,25,,20,,120,100,16,13.79,,,10,12.5,2.78,,,,,,,,,
603839.SH,,,,,,,,,,,,,,,,,,,,,,,,,500,41.67
603838.SH,,,,,,,,,,,,,,,,,,,,,,,,,12.12,18.92
603833.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603828.SH,,,,,2.94,,,2.86,,,,,,,,,,,5.41,,,,2.56,,,
603826.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603825.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603823.SH,,,,,,,,,,,,,,,,,,,,,,,,,,33.33
603822.SH,,,,,,,75,42.86,,20,8.33,,,,,,,,,,,,15.38,,6.67,
603819.SH,,,,,,,,,,,,,,,,100,,,,,,,,33.33,12.5,33.33
603818.SH,,,,,,,,,,,,,,,,,,,,0.85,,,,,,0.85
603817.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603816.SH,,,,,,,250,114.29,28.57,,,5.56,10.53,9.52,4.35,,,,,4.17,,,,,,
603811.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603808.SH,,,,,,,,,,3.64,,,,,,,,,,,,,,,,
603806.SH,0.99,,,,,,,,0.99,,0.98,0.97,0.96,0.95,,,,,,,,,,,,1.89
603803.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603801.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603800.SH,,,,,2.27,,,,11.11,4,5.77,,1.82,1.79,1.75,1.72,1.69,,6.56,,,,1.52,,,
603799.SH,1.08,,,0.52,1.05,1.55,,0.51,5.08,1.45,0.48,0.47,,0.94,0.47,0.93,0.92,,0.91,,,,1.8,0.44,3.52,2.98
603798.SH,,,,,,,,,,8.33,15.38,7.14,,,,6.67,,,31.25,,,,,,,
603797.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603789.SH,,,,,,,,2.97,,1.92,0.94,0.93,0.93,,1.83,0.9,,,,,,,2.68,0.87,,
603788.SH,,,,2.78,,,,,,,,2.7,2.63,,7.69,,,,,,,,,,,
603787.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603779.SH,,,,,,6.25,,,,,,,,5.88,16.67,38.1,6.9,,2.94,,,,2.86,,,
603778.SH,23.53,,,,4.35,,,,,12.5,,,8.33,,,,,,,,,,,,,
603777.SH,,,,,,,100,750,82.35,12.9,11.43,12.82,,4.55,2.17,6.38,,,2.13,,,,2.08,,4.08,3.92
603776.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603768.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603767.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603766.SH,2.23,,,0.52,1.04,,,,,,0.52,,,,1.03,0.51,,,1.02,,,,0.5,0.5,,
603758.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603757.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603738.SH,,,,,,,,,50,100,,,,33.33,,25,,,,,,,,,,
603737.SH,,,,10,,,9.09,8.33,,,,,,,,,,,7.69,7.14,,,,,,
603730.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603729.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603728.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603727.SH,,,,,,,,,,,,,100,57.14,30,15.38,20,,,,,,9.52,47.83,,11.43
603726.SH,,,,,,,,,12.5,,,5.56,,,5.26,,,,,,,,,4.76,4.76,
603721.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603718.SH,,,,,,,,,3.13,,1.52,,,,,1.49,,,,,,,,,,
603717.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603716.SH,,,,,,,,,,,100,200,,,,,66.67,,,,,,,,,
603708.SH,,,,,,,,,,,,,,,,,80,,22.22,,,,,60,12.5,
603707.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603703.SH,,,,,,,6.06,,,,,5.71,,,,,2.7,,,,,,,2.63,,
603701.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603699.SH,,,,,,,,,,,,0.71,,0.7,,,,,,,,,,,0.69,0.68
603698.SH,,,,,,,,,,2.47,,,,,,,4.82,,3.49,1.12,,,,,1.11,
603696.SH,,,,,3.03,,,,5.88,8.57,2.63,2.56,7.5,9.3,2.13,2.08,,,,2,,,,,,1.89
603690.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603689.SH,,,,,,,,,,,,,,,,,,,,166.67,,,12.5,33.33,8.33,7.69
603688.SH,,,,,5.88,2.7,5.26,,,2.5,,4.76,,,,,,,,,,,,,,7.32
603686.SH,,,,,,,,,,,2.44,4.76,2.3,,,1.12,1.11,,1.1,,,,,1.09,,1.08
603679.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603678.SH,2.44,,,2.38,2.33,,,,,,2.27,4.44,2.13,4.17,,,,,,,,,,2,,1.96
603677.SH,,,,,,,,,,,,,,,,,,,,,,,,50,83.33,18.18
603676.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603669.SH,,,,,4.17,2,3.92,,15.09,1.64,,,,,,1.61,1.59,,,,,,,,,1.56
603668.SH,,,,,,,,,,,,,,,,,,,,100,,,133.33,28.57,11.11,10
603667.SH,,,,,,,,50,,,150,20,,16.67,,14.29,,,,,,,22.22,,,
603665.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603663.SH,33.33,,,,,,,,,33.33,75,,,,,,,,,28.57,,,11.11,10,18.18,
